Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 19,Group 20,Group 21,Group 22,Group 23,Group 24,Group 25,Group 26,Group 27,Group 28,Group 29,Group 30,Group 31,Group 32
abound,adulterate,abate,abstain,aloof,admonish,appease,accentuate,boorish,acumen,abhor,acrimonious ,affinity,acquiesce,alienate,antedate,acclaim,abet,acolyte,abreast,abject,arresting,allusive,assail,adept,apprehension,antagonize,abeyance,abscond,aberrant,abrogate,abstruse
amorphous,advocate,abjure,approbation,clangor,aesthetic,arbitrary,conjectural,brook,antithesis,boisterous,belligerent,altruistic,adroit,apathy,banish,ascertain,accessible,anoint,confound,amicable,chastise,astute,benevolent,adverse,ardent,barren,abstract,apogee,abide,aghast,auxiliary
austere,aggrandize,anomalous,cherish,conventional,affectation,archaic,convivial,circumspect,ascribe,chivalrous,beneficent,baroque,amend,apropos,bridle,assertive,acquisitive,base,digression,animosity ,cumbersome,commence,berate,appropriate,axiomatic,bombastic,affront,aspersion,bravado,apprise,caricature
belie,alacrity,antipathy ,corroborate,debunk,alleviate,clamorous,decadent,comity,befuddled,churlish,canny,byzantine,animus,apt,comply,bogus,amalgamate,coercion ,discrepancy,aver,economy,convalescent,buoyant,archetype,cease,cajole,agitate,bawdy,callow,beguile,depravity
capricious,ambivalent,arcane,disparate,diminutive,analogous,dearth,egregious,commensurate,eschew,clandestine,cavalier,compromise,apologist,cloak,crestfallen,cataclysmic ,attenuate,coin,duplicitous,barrage,elementary,curb,buttress,articulate,conducive,chary,august,chagrin,capitulate,boon,dilettante
cerebral,ameliorate,arduous,emulate,discernible,bolster,explicable,evanescent,cordial,esoteric,complacent,distressed ,conciliatory,astringent,consensus,curtail,circumscribe,augment,cunning,expedient,cathartic,embellish,decry,condone,auspicious,corporeal,curmudgeon,burnish,collude,cogitate,callous,effrontery
congenial,amenable,artless,enervate,enigmatic,chauvinistic,hyperbole,flamboyant,deleterious,evasive,cumbersome,dwindling,countenance,collaborate,distort,elucidate,complementary,aversion,discomfit,fabricate,decipher,euphoric,duress,contravene,bereft,doctrinaire,dirge,coy,commiserate,deportment,coddle,encroach
conspicuous,anachronistic,ascetic,ephemeral,estranged,connoisseur,immutable,forestall,dichotomy,exculpate,debilitating,eclipse,covert,competent,divergent,evade,contentious,blithe,dissent,glum,delusion,exonerate,evoke,denounce,captious,eclectic,estimable,deprecate ,conflagration,extemporize,crescendo,endow
cursory,audacious,assuage ,fervid,extravagant,dissemble ,indefatigable,gainsay,edify,expedite,deliberate,encyclopedic ,credible,correlate,elated,feckless,disingenuous,contempt,distill,harbinger,dispense,extrapolate,fawn,despotic,conclusive,equanimity,euphemism,disdain,contretemps,factious,extenuating,entreat
daunting,avaricious,betray,garrulous,fanciful,dogged,indolent,galvanize,elicit,fastidious,droll,exacerbate,diffuse,deride,enchant,fester,divulge,dawdle,dubious,intrinsic,eloquent,falter,fret,deviate,conspire,exorbitant,excoriate,disperse,conviction,fallow,frenetic,gregarious
